Datum,Uhrzeit,Heim_Auswärts
2012-08-25,16:00 Uhr,A
2012-09-05,20:15 Uhr,A
2012-09-12,20:15 Uhr,H
2012-09-16,17:30 Uhr,A
2012-09-25,19:30 Uhr,H
2012-10-02,20:15 Uhr,A
2012-10-14,15:00 Uhr,H
2012-10-21,15:00 Uhr,A
2012-10-27,15:00 Uhr,A
2012-11-07,19:30 Uhr,H
2012-11-11,15:00 Uhr,H
2012-11-14,20:15 Uhr,A
2012-11-25,17:30 Uhr,H
2012-11-28,20:15 Uhr,A
2012-12-09,17:30 Uhr,H
2012-12-16,17:30 Uhr,A
2012-12-19,20:15 Uhr,H
2012-12-23,15:30 Uhr,H
2012-12-26,18:30 Uhr,A
2013-02-13,20:15 Uhr,H
2013-02-24,17:30 Uhr,A
2013-02-26,20:15 Uhr,H
2013-03-03,17:30 Uhr,A
2013-03-16,17:30 Uhr,H
2013-03-20,20:15 Uhr,A
2013-03-27,20:15 Uhr,H
2013-03-30,15:00 Uhr,H
2013-04-17,20:15 Uhr,A
2013-05-01,16:45 Uhr,H
2013-05-12,15:00 Uhr,A
2013-05-14,20:15 Uhr,H
2013-05-26,17:30 Uhr,A
2013-06-05,20:15 Uhr,H
2013-06-08,16:30 Uhr,A
2013-08-24,19:00 Uhr,H
2013-08-31,19:00 Uhr,A
2013-09-07,15:00 Uhr,A
2013-09-11,20:15 Uhr,H
2013-09-14,19:00 Uhr,A
2013-09-18,20:15 Uhr,H
2013-09-25,20:15 Uhr,H
2013-10-05,19:00 Uhr,H
2013-10-09,20:15 Uhr,A
2013-10-16,20:15 Uhr,H
2013-10-27,15:00 Uhr,A
2013-11-06,20:15 Uhr,H
2013-11-10,15:00 Uhr,A
2013-11-24,15:00 Uhr,A
2013-11-27,20:15 Uhr,H
2013-12-08,15:00 Uhr,A
2013-12-14,19:00 Uhr,A
2013-12-18,19:00 Uhr,H
2013-12-21,19:00 Uhr,H
2013-12-26,17:15 Uhr,H
2014-02-04,20:15 Uhr,A
2014-02-12,20:15 Uhr,H
2014-02-23,15:00 Uhr,A
2014-03-01,20:15 Uhr,A
2014-03-09,17:15 Uhr,A
2014-03-16,17:15 Uhr,H
2014-03-23,15:00 Uhr,A
2014-03-26,20:15 Uhr,H
2014-04-16,20:15 Uhr,A
2014-04-30,20:15 Uhr,H
2014-05-04,16:00 Uhr,A
2014-05-11,15:15 Uhr,H
2014-05-18,15:30 Uhr,A
2014-05-24,16:00 Uhr,H
2014-08-23,19:00 Uhr,A
2014-08-26,20:15 Uhr,H
2014-08-31,17:15 Uhr,A
2014-09-03,20:15 Uhr,A
2014-09-05,19:45 Uhr,A
2014-09-14,17:15 Uhr,H
2014-09-24,20:15 Uhr,A
2014-10-05,17:15 Uhr,H
2014-10-11,16:15 Uhr,A
2014-10-15,20:15 Uhr,H
2014-10-25,16:15 Uhr,A
2014-11-05,20:15 Uhr,H
2014-11-08,19:00 Uhr,A
2014-11-12,20:15 Uhr,H
2014-11-19,20:15 Uhr,A
2014-11-30,15:00 Uhr,H
2014-12-07,15:00 Uhr,A
2014-12-14,17:15 Uhr,H
2014-12-20,19:00 Uhr,A
2014-12-23,19:00 Uhr,H
2014-12-26,17:15 Uhr,H
2015-02-11,20:15 Uhr,A
2015-02-22,15:00 Uhr,H
2015-02-25,20:15 Uhr,H
2015-03-01,17:15 Uhr,A
2015-03-12,19:00 Uhr,H
2015-03-18,20:15 Uhr,A
2015-03-29,15:00 Uhr,A
2015-04-01,20:15 Uhr,H
2015-04-05,17:15 Uhr,H
2015-04-08,20:15 Uhr,A
2015-04-22,20:15 Uhr,H
2015-05-15,20:15 Uhr,A
2015-05-20,20:15 Uhr,H
2015-06-03,20:15 Uhr,A
2015-06-05,20:00 Uhr,H
2015-08-23,15:00 Uhr,A
2015-09-02,20:15 Uhr,H
2015-09-06,15:00 Uhr,A
2015-09-09,20:15 Uhr,H
2015-09-13,15:00 Uhr,A
2015-09-20,17:15 Uhr,H
2015-09-23,20:15 Uhr,A
2015-09-30,20:15 Uhr,H
2015-10-07,19:00 Uhr,A
2015-10-14,20:15 Uhr,H
2015-11-01,17:15 Uhr,A
2015-11-15,15:00 Uhr,H
2015-11-18,20:15 Uhr,A
2015-11-25,20:15 Uhr,H
2015-12-01,20:15 Uhr,A
2015-12-09,20:15 Uhr,H
2015-12-13,15:00 Uhr,A
2015-12-19,19:00 Uhr,A
2015-12-23,18:30 Uhr,H
2015-12-27,18:15 Uhr,A
2016-02-10,19:00 Uhr,H
2016-02-21,15:00 Uhr,H
2016-02-27,19:00 Uhr,H
2016-03-05,,A
2016-03-27,15:00 Uhr,A
2016-04-16,19:00 Uhr,H
2016-04-20,20:45 Uhr,A
2016-05-04,19:00 Uhr,H
2016-05-08,15:00 Uhr,H
2016-05-11,19:00 Uhr,A
2016-05-15,17:30 Uhr,H
2016-05-22,15:00 Uhr,A
2016-06-01,20:45 Uhr,A
2016-06-05,15:00 Uhr,H
2016-09-04,19:15 Uhr,A
2016-09-06,19:00 Uhr,A
2016-09-11,15:00 Uhr,H
2016-09-14,19:00 Uhr,H
2016-09-21,20:15 Uhr,A
2016-09-27,19:00 Uhr,H
2016-10-05,19:00 Uhr,A
2016-10-12,20:15 Uhr,A
2016-10-19,19:00 Uhr,H
2016-10-29,19:00 Uhr,A
2016-11-13,15:00 Uhr,H
2016-11-16,20:15 Uhr,A
2016-11-26,19:00 Uhr,H
2016-11-30,20:15 Uhr,A
2016-12-11,15:00 Uhr,H
2016-12-17,19:00 Uhr,A
2016-12-21,18:30 Uhr,H
2016-12-26,17:15 Uhr,H
2017-02-08,19:00 Uhr,A
2017-02-19,15:00 Uhr,H
2017-02-22,20:15 Uhr,H
2017-03-01,20:15 Uhr,A
2017-03-08,19:00 Uhr,H
2017-03-26,15:00 Uhr,A
2017-04-02,15:00 Uhr,H
2017-04-15,19:00 Uhr,A
2017-04-19,19:00 Uhr,H
2017-04-26,20:15 Uhr,A
2017-05-14,15:00 Uhr,H
2017-05-17,20:45 Uhr,A
2017-05-28,17:15 Uhr,H
2017-05-31,20:45 Uhr,A
2017-06-03,19:00 Uhr,H
2017-06-10,16:00 Uhr,A
2017-08-30,19:00 Uhr,A
2017-09-03,12:30 Uhr,H
2017-09-07,19:00 Uhr,H
2017-09-10,12:30 Uhr,A
2017-09-14,19:00 Uhr,H
2017-09-21,19:00 Uhr,A
2017-10-01,15:00 Uhr,A
2017-10-05,20:30 Uhr,A
2017-10-12,19:00 Uhr,H
2017-10-21,14:05 Uhr,A
2017-11-02,19:00 Uhr,H
2017-11-09,19:00 Uhr,A
2017-11-16,19:00 Uhr,H
2017-11-23,19:00 Uhr,A
2017-12-02,20:30 Uhr,H
2017-12-10,15:00 Uhr,A
2017-12-14,19:00 Uhr,H
2017-12-21,20:45 Uhr,A
2017-12-27,19:00 Uhr,H
2018-02-11,12:30 Uhr,A
2018-02-15,19:00 Uhr,H
2018-02-22,19:00 Uhr,A
2018-03-01,19:00 Uhr,H
2018-03-11,12:30 Uhr,A
2018-03-15,19:00 Uhr,H
2018-03-24,18:10 Uhr,H
2018-03-29,19:00 Uhr,H
2018-04-15,12:30 Uhr,A
2018-04-19,19:00 Uhr,H
2018-04-26,19:00 Uhr,A
2018-05-10,19:00 Uhr,H
2018-05-20,12:30 Uhr,A
2018-05-31,19:00 Uhr,H
2018-06-03,15:00 Uhr,A
