Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode
2018-08-01,0,23.7625,10,0
2018-08-02,0,26.1875,10,0
2018-08-03,1,27.6625,10,0
2018-08-04,4,25.1375,12,
2018-08-05,7,21.3,14,61
2018-08-06,0,23.1,5,0
2018-08-07,0,32.671428,7,
2018-08-08,4,28.15,10,
2018-08-09,5,24.575,13,21
2018-08-10,5,17.325,16,61
2018-08-11,6,15.5,13,61
2018-08-12,7,18.375,9,61
2018-08-13,7,21.9125,8,61
2018-08-14,5,21.8,16,61
2018-08-15,6,21.9875,13,21
2018-08-16,3,25.075,9,0
2018-08-17,7,19.55,9,61
2018-08-18,4,21.75,10,
2018-08-19,7,21.3875,10,
2018-08-20,6,19.6,13,21
2018-08-21,4,19.7875,8,
2018-08-22,0,26.6375,8,
2018-08-23,5,22.575,11,5
2018-08-24,5,17.1,15,61
2018-08-25,7,12.9,6,63
2018-08-26,3,16.9875,12,21
2018-08-27,6,16.5375,13,63
2018-08-28,6,18.6125,9,61
2018-08-29,0,22.7,12,0
2018-08-30,7,15.4625,13,63
2018-08-31,4,18.725,11,0
2018-09-01,2,18.1125,8,
2018-09-02,1,18.95,11,5
2018-09-03,2,21.0125,13,21
2018-09-04,1,20.525,11,5
2018-09-05,2,20.2875,11,0
2018-09-06,0,21.275,11,0
2018-09-07,7,17.475,12,61
2018-09-10,5,19.2375,12,
2018-09-11,7,16.55,12,61
2018-09-12,7,14.3,11,61
2018-09-13,4,17.3375,7,0
2018-09-14,3,17.1125,9,
2018-09-21,6,14.957142,16,61
2018-09-22,4,13.025,20,61
2018-09-23,6,11.65,6,61
2018-09-24,2,11.2875,17,21
2018-09-25,3,12.7625,9,0
2018-09-26,7,14.2375,16,61
2018-09-27,7,17.6,13,0
2018-09-28,1,12.8625,15,21
2018-09-29,6,13.1,10,61
2018-09-30,5,13.9625,12,21
2018-10-01,5,11.1625,12,21
2018-10-02,6,10,18,61
2018-10-03,4,12.2875,18,21
2018-10-04,7,14.2625,8,61
2018-10-05,0,18.1125,8,5
2018-10-06,1,14.3375,6,10
2018-10-07,1,11.4,10,5
2018-10-08,5,13.0625,10,
2018-10-09,3,15.125,9,0
2018-10-10,0,17.1,6,10
2018-10-11,0,19.633333,7,0
2018-10-12,0,21.4125,7,
2018-10-15,0,20.7875,6,0
2018-10-16,7,19.0625,6,10
2018-10-17,2,20.8375,5,5
2018-10-18,1,12.816666,12,5
2018-10-19,3,10.925,6,5
2018-10-22,2,11.1,14,0
2018-10-23,7,11.925,23,63
2018-10-24,4,10.357142,11,0
2018-10-25,6,11.125,19,21
2018-10-26,7,10.325,9,63
2018-10-27,7,5.8375,13,63
2018-10-28,2,5.5875,14,0
2018-10-29,7,7.3625,17,21
2018-10-30,7,10.6375,11,20
2018-10-31,5,9.9,10,0
2018-11-01,5,11.725,8,0
2018-11-02,6,10.675,12,61
2018-11-03,0,8.7,5,10
2018-11-04,8,8.225,5,10
2018-11-05,8,10.4125,6,10
2018-11-06,7,8.5375,5,45
2018-11-07,1,11.0875,4,28
2018-11-08,6,11.625,7,20
2018-11-09,7,9.3,6,61
2018-11-10,7,11.425,8,61
2018-11-11,7,12.2375,8,61
2018-11-12,7,10.5375,4,61
2018-11-13,7,10.325,9,61
2018-11-14,7,8.4375,7,10
2018-11-15,2,10.35,6,5
2018-11-16,0,8.2625,7,10
2018-11-17,0,5.375,10,10
2018-11-18,7,6.75,14,0
2018-11-19,6,5.775,21,61
2018-11-20,7,4.725,16,
2018-11-21,7,3.05,12,0
2018-11-22,8,1.5125,9,21
2018-11-23,8,1.8875,6,10
2018-11-24,8,3.025,4,10
2018-11-25,8,5.1625,12,53
2018-11-26,7,4.95,12,61
2018-11-27,8,2.1625,3,
2018-11-28,3,1.5,10,5
2018-11-29,7,3.3,10,61
2018-11-30,5,7.8375,8,
2018-12-01,7,7.1625,8,61
2018-12-02,7,8.15,8,61
2018-12-03,7,10.825,12,61
2018-12-04,1,5.442857,14,21
2018-12-05,1,3.7375,6,0
2018-12-06,7,6.725,7,61
2018-12-07,7,10.825,9,61
2018-12-08,8,7.475,18,61
2018-12-09,7,6.95,18,61
2018-12-10,5,4.9125,15,21
2018-12-11,6,4.6375,11,
2018-12-12,7,4.175,12,21
2018-12-13,7,2.925,10,61
2018-12-14,7,2.175,12,22
2018-12-15,7,0.5375,7,
2018-12-16,7,0.2,9,
2018-12-17,8,0.65,6,20
2018-12-18,7,5.3125,6,21
2018-12-19,7,3.175,9,61
2018-12-20,7,4.8875,4,53
2018-12-21,7,6.1125,9,61
2018-12-22,8,4.3,4,
2018-12-23,7,6.45,9,61
2018-12-24,7,2.5,10,22
2018-12-25,7,6.3625,16,
2018-12-26,7,7.9125,12,0
2018-12-27,7,7.125,12,20
2018-12-28,7,7.3125,11,61
2018-12-29,8,7.675,10,61
2018-12-30,2,6.675,16,
2018-12-31,7,7.3875,13,45
2019-01-01,6,6.2875,26,21
2019-01-02,0,3.9125,20,0
2019-01-03,2,0.725,6,
2019-01-04,7,5.55,15,61
2019-01-05,5,7.85,8,21
2019-01-06,7,3.65,7,61
2019-01-07,8,5.9375,8,55
2019-01-08,6,5.5,19,21
2019-01-09,7,3.1375,22,0
2019-01-10,7,1.4,7,
2019-01-11,6,6.8625,15,61
2019-01-12,7,6.0875,13,61
2019-01-13,7,7.6875,20,61
2019-01-14,2,1.9375,18,5
2019-01-15,7,6.6625,18,61
2019-01-16,7,7.2125,14,61
2019-01-17,7,4.1875,15,61
2019-01-18,1,1.2625,7,0
2019-01-19,2,0.925,4,49
2019-01-20,1,0.85,4,10
2019-01-21,6,-0.425,9,71
2019-01-22,5,0.1375,9,10
2019-01-23,4,-3.075,7,10
2019-01-24,8,-4.8125,6,22
2019-01-25,8,-3.3875,6,71
2019-01-26,7,3.8375,7,61
2019-01-27,8,4.9375,7,61
2019-01-28,8,2.75,5,20
2019-01-29,6,1.575,7,68
2019-01-30,5,1.6,10,
2019-01-31,7,1.4,7,20
2019-02-01,7,-0.075,12,10
2019-02-02,8,1.7375,10,10
2019-02-03,1,2.5,9,0
2019-02-04,7,2.95,12,
2019-02-05,7,4.6375,11,61
2019-02-06,7,3.6625,11,61
2019-02-07,7,6.0375,10,61
2019-02-08,7,6.5,11,61
2019-02-09,7,7.4,18,61
2019-02-10,7,5.125,7,61
2019-02-11,2,5.9375,16,0
2019-02-12,4,5.225,12,20
2019-02-13,8,7.5375,13,20
2019-02-14,3,7.4,10,10
2019-02-15,0,11.3375,7,0
2019-02-16,0,10.425,12,5
2019-02-17,3,11.625,5,5
2019-02-18,0,11.725,7,0
2019-02-19,7,6.75,15,63
2019-02-20,7,7.34,11,61
2019-02-21,8,7.675,12,61
2019-02-22,4,4.125,11,0
2019-02-23,6,4.775,6,
2019-02-24,0,9.6875,9,5
2019-02-25,0,9.8125,9,21
2019-02-26,0,10.85,7,5
2019-02-27,1,13.4125,10,5
2019-02-28,5,7.8875,11,21
2019-03-01,7,5.6375,8,
2019-03-02,7,5.4,7,
2019-03-03,6,8.975,13,61
2019-03-04,6,7.5375,20,61
2019-03-05,5,6.8875,17,61
2019-03-06,7,6.7625,9,61
2019-03-07,6,9.65,19,61
2019-03-08,5,6.8875,26,61
2019-03-09,6,6.35,22,63
2019-03-10,6,6.8875,10,21
2019-03-11,5,4.075,6,61
2019-03-12,6,5.425,13,61
2019-03-13,7,5.8,15,63
2019-03-14,7,5.5625,12,61
2019-03-15,7,7.4875,25,61
2019-03-16,7,5.5875,11,61
2019-03-17,5,7.4,20,21
2019-03-18,5,6.325,21,61
2019-03-19,3,7.0125,11,5
2019-03-20,8,8.2875,12,53
2019-03-21,8,10.225,14,10
2019-03-22,7,9.7,6,20
2019-03-23,6,10.2625,15,10
2019-03-24,4,7.6625,12,0
2019-03-25,4,7.3375,17,21
2019-03-26,7,7.8375,16,21
2019-03-27,8,8.375,14,61
2019-03-28,8,10.7,9,
2019-03-29,5,12.1125,11,21
2019-03-30,1,15.5,11,5
2019-03-31,0,7.6625,13,5
2019-04-01,0,8.05,13,5
2019-04-02,0,11.685714,10,5
2019-04-03,7,9.875,9,63
2019-04-05,2,12.0625,10,5
2019-04-06,0,12.7625,10,10
2019-04-07,0,12.8375,8,5
2019-04-08,1,9.1125,16,5
2019-04-09,1,6.6625,15,5
2019-04-10,0,6.275,14,5
2019-04-11,7,5.3375,12,22
2019-04-12,5,5.2125,11,22
2019-04-13,7,3.475,16,68
2019-04-14,7,5.9375,16,61
2019-04-15,2,7.35,14,5
2019-04-16,0,8.4375,15,5
2019-04-17,0,11.6625,14,5
2019-04-18,0,13.0125,14,5
2019-04-19,0,14.1,12,5
2019-04-20,0,13.125,8,
2019-04-21,0,16.8125,10,
2019-04-22,0,15.775,16,5
2019-04-23,0,14.225,19,5
2019-04-24,2,17.65,10,21
2019-04-25,0,19.6125,7,
2019-04-26,7,14.975,16,95
2019-04-27,5,16.2125,13,0
2019-04-28,7,9.85,10,61
2019-04-29,3,13.6125,12,10
2019-04-30,6,17.65,11,0
2019-05-01,7,9.2625,15,20
2019-05-02,7,8.95,16,61
2019-05-03,6,8.7625,18,21
2019-05-04,5,7.3,15,61
2019-05-05,5,10.6875,15,
2019-05-06,3,9.1625,18,61
2019-05-07,3,9.6625,14,21
2019-05-08,6,12.8125,8,61
2019-05-09,6,15,7,61
2019-05-10,7,10.4625,11,61
2019-05-11,1,11.525,9,
2019-05-12,1,13.0125,16,5
2019-05-13,1,12.7125,11,5
2019-05-14,7,12.3375,9,
2019-05-15,2,13.9,11,
2019-05-16,7,12.475,15,61
2019-05-17,7,11.95,11,10
2019-05-18,3,16.4875,13,5
2019-05-19,4,14.2375,12,10
2019-05-20,3,16.8125,9,28
2019-05-21,7,16.425,10,61
2019-05-22,6,12.1,15,61
2019-05-23,5,18.2375,10,0
2019-05-24,2,18.4125,17,0
2019-05-25,7,13.5375,14,
2019-05-26,7,13.625,10,61
2019-05-27,6,15.2625,13,
2019-05-28,6,13.1625,12,
2019-05-29,3,13.3625,8,0
2019-05-30,7,14.0125,9,61
2019-05-31,7,18.85,14,
2019-06-01,6,19.5625,15,0
2019-06-02,2,24.35,8,
2019-06-03,6,22.225,12,21
2019-06-04,7,16.0625,10,61
2019-06-05,5,22.9125,11,
2019-06-06,6,19.5,13,61
2019-06-07,1,17.45,10,
2019-06-08,7,16.2375,13,61
2019-06-09,5,18.65,10,
2019-06-10,7,16.125,14,61
2019-06-11,6,18.1375,6,95
2019-06-12,7,16.6625,10,95
2019-06-13,0,22.175,11,
2019-06-14,5,22.9,9,95
2019-06-15,7,18.2125,12,95
2019-06-16,6,20.3875,8,0
2019-06-17,3,21.875,9,
2019-06-18,5,25.1125,6,95
2019-06-19,3,25.95,8,17
2019-06-20,6,19.275,8,21
2019-06-21,6,18.1625,11,
2019-06-22,6,17.025,9,5
2019-06-23,1,20.375,12,5
2019-06-24,6,21.875,13,
2019-06-25,3,28.775,7,
2019-06-26,0,26.0375,16,5
2019-06-27,6,17.175,14,
2019-06-28,1,20.225,7,
2019-06-29,0,24.0375,8,0
2019-06-30,0,27.3375,19,5
2019-07-01,5,20.25,20,0
2019-07-02,6,15.1875,18,21
2019-07-03,5,16.5,13,21
2019-07-04,7,15.9625,15,61
2019-07-05,7,15.7375,13,61
2019-07-06,7,15.9125,17,61
2019-07-07,7,14.4625,16,
2019-07-08,7,16.0125,15,61
2019-07-09,7,16.625,13,20
2019-07-10,1,19.2125,11,
2019-07-11,7,17.6125,6,53
2019-07-12,7,18.475,7,61
2019-07-13,7,19.9,12,20
2019-07-14,8,15.3625,9,20
2019-07-15,7,15.5875,16,
2019-07-16,5,19.1125,14,0
2019-07-17,4,17.5375,6,0
2019-07-18,6,21.25,8,0
2019-07-19,6,21.0875,11,21
2019-07-20,7,24.35,14,95
2019-07-21,8,18.9,16,21
2019-07-22,7,16.6375,5,61
2019-07-23,0,26.1,9,0
2019-07-24,0,27.6875,10,0
2019-07-25,6,29.725,11,
2019-07-26,0,26.925,14,5
2019-07-27,4,23.5375,21,5
2019-07-28,3,23.35,14,5
2019-07-29,6,25.25,7,61
2019-07-30,7,20.7375,8,61
2019-07-31,6,20.45,7,61